asset,strategy,return_pct,hold_pct,trades,max_dd_pct
LTC,SMA_3X_SHORT,67.31202029399361,-41.488922833472174,1,-31.075387774442003
LTC,BREAKOUT_3X_SHORT,64.90624712678223,-41.488922833472174,1,-35.84890008776649
ADA,BREAKOUT_3X_SHORT,59.09088769843236,-52.05300434376443,1,-57.138329366854634
ADA,SMA_3X_SHORT,40.233990688548914,-52.05300434376443,5,-57.438584623910316
BTC,BREAKOUT_3X_SHORT,-2.183285117959244,-28.857439072744175,3,-36.73584071571215
DOGE,SMA_3X_SHORT,-18.335650754753374,-43.56543073141253,5,-66.47433073257605
ETH,BREAKOUT_3X_SHORT,-21.34883141778454,-38.47110981043532,3,-59.02058520601335
LINK,SMA_3X_SHORT,-35.588172320389724,-42.87338410848262,5,-68.99206768676875
BTC,SMA_3X_SHORT,-47.090499280090434,-28.857439072744175,3,-51.39242809161543
SOL,BREAKOUT_3X_SHORT,-50.00756923266101,-43.98171189026774,5,-73.19357861468106
ATOM,BREAKOUT_3X_SHORT,-57.48066937097654,-35.17474244089699,5,-71.12043184414394
XRP,SMA_3X_SHORT,-66.9766102450596,-35.00331335990683,5,-75.27716187700936
LINK,BREAKOUT_3X_SHORT,-69.16443803916114,-42.87338410848262,5,-81.63385686479259
DOGE,BREAKOUT_3X_SHORT,-70.2046447628544,-43.56543073141253,5,-83.1239168829343
AVAX,BREAKOUT_3X_SHORT,-72.29386301112504,-46.173692666042356,5,-85.03214192457511
NEAR,BREAKOUT_3X_SHORT,-76.17811108320109,-44.888797833990466,5,-89.23044336256784
DOT,BREAKOUT_3X_SHORT,-77.6264448257898,-48.569011940738704,5,-88.87487517347824
ETH,SMA_3X_SHORT,-78.7047844135044,-38.47110981043532,5,-80.44918510619722
XRP,BREAKOUT_3X_SHORT,-87.00088957563331,-35.00331335990683,5,-92.5840167782279
AVAX,SMA_3X_SHORT,-89.10885595259681,-46.173692666042356,5,-91.42422415130369
NEAR,SMA_3X_SHORT,-89.83843598862552,-44.888797833990466,5,-92.95078227245297
DOT,SMA_3X_SHORT,-92.44222181143425,-48.569011940738704,5,-93.62976406691452
SOL,SMA_3X_SHORT,-93.2880880667137,-43.98171189026774,5,-94.08537664284661
ATOM,SMA_3X_SHORT,-93.7811519652127,-35.17474244089699,3,-99.3199815964009
