asset,strategy,start_date,end_date,trading_days,candles,initial_capital,final_value,hold_final_value,strategy_return_pct,hold_return_pct,outperformance_pct,total_trades,buy_signals,sell_signals,max_drawdown_pct,sharpe_ratio,plot_file
ADA,SMA,2026-01-01,2026-02-01,30,745,91.0,111.6536284753748,78.52043241175951,22.696295027884396,-13.713810536528005,36.410105564412405,63,62,63,-12.724610132103416,4.363143849788651,/Users/Abel/clawd/simple_trader/backtest_results/1mo/ADA_SMA_backtest.png
DOGE,SMA,2026-01-01,2026-02-01,30,745,91.0,104.89844119877107,79.241676172509,15.273012306341837,-12.921234975264827,28.194247281606664,53,52,53,-9.208764143808342,3.2154170090844514,/Users/Abel/clawd/simple_trader/backtest_results/1mo/DOGE_SMA_backtest.png
DOT,SMA,2026-01-01,2026-02-01,30,745,91.0,103.46212123144805,77.44327791527277,13.694638715876973,-14.897496796403543,28.592135512280514,60,59,60,-15.188525867762445,2.5996889975783026,/Users/Abel/clawd/simple_trader/backtest_results/1mo/DOT_SMA_backtest.png
AVAX,SMA,2026-01-01,2026-02-01,30,745,91.0,100.82707606792877,74.04660222788235,10.79898469003162,-18.63010744188753,29.429092131919152,64,63,64,-11.772663256681192,2.473642806967822,/Users/Abel/clawd/simple_trader/backtest_results/1mo/AVAX_SMA_backtest.png
NEAR,SMA,2026-01-01,2026-02-01,30,745,91.0,98.87216309846224,70.94553015188843,8.650728679628838,-22.037878953968757,30.688607633597595,57,56,57,-18.240243574985442,1.7789994855022169,/Users/Abel/clawd/simple_trader/backtest_results/1mo/NEAR_SMA_backtest.png
LINK,SMA,2026-01-01,2026-02-01,30,745,91.0,98.35171908772806,72.73582899387412,8.078812184316542,-20.07051758914932,28.14932977346586,58,57,58,-13.852572876134284,2.0265261128846053,/Users/Abel/clawd/simple_trader/backtest_results/1mo/LINK_SMA_backtest.png
XRP,SMA,2026-01-01,2026-02-01,30,745,91.0,98.33733371486782,80.2816774373952,8.06300408227234,-11.778376442422855,19.841380524695197,57,56,57,-7.716156047094072,2.0183322849448846,/Users/Abel/clawd/simple_trader/backtest_results/1mo/XRP_SMA_backtest.png
BTC,SMA,2026-01-01,2026-02-01,30,745,91.0,98.23560826304916,81.12174347280951,7.951217871482585,-10.855226952956576,18.80644482443916,69,68,69,-5.7715547893998815,3.135564389890897,/Users/Abel/clawd/simple_trader/backtest_results/1mo/BTC_SMA_backtest.png
ETH,SMA,2026-01-01,2026-02-01,30,745,91.0,94.03037823339086,72.82233223637293,3.330085970759189,-19.975459080908863,23.30554505166805,60,59,60,-12.361516354804026,1.0956200875829538,/Users/Abel/clawd/simple_trader/backtest_results/1mo/ETH_SMA_backtest.png
BTC,COMBINED,2026-01-01,2026-02-01,30,745,91.0,89.46600740428214,81.12174347280951,-1.685706149140509,-10.855226952956576,9.169520803816066,93,92,93,-5.330202278887229,-1.2089304191406633,/Users/Abel/clawd/simple_trader/backtest_results/1mo/BTC_COMBINED_backtest.png
XRP,COMBINED,2026-01-01,2026-02-01,30,745,91.0,88.70903357218964,80.2816774373952,-2.5175455250663337,-11.778376442422855,9.260830917356522,78,77,78,-7.245012092537456,-1.109770680054335,/Users/Abel/clawd/simple_trader/backtest_results/1mo/XRP_COMBINED_backtest.png
ATOM,SMA,2026-01-01,2026-02-01,30,745,91.0,87.95926932835516,91.98725543615085,-3.3414622765327917,1.0848960836822519,-4.426358360215044,79,78,79,-20.91094840700551,-0.2843685128752054,/Users/Abel/clawd/simple_trader/backtest_results/1mo/ATOM_SMA_backtest.png
ADA,COMBINED,2026-01-01,2026-02-01,30,745,91.0,84.75456478593959,78.52043241175951,-6.863115619846605,-13.713810536528005,6.8506949166814,94,93,94,-17.931011730888446,-2.3798172280749657,/Users/Abel/clawd/simple_trader/backtest_results/1mo/ADA_COMBINED_backtest.png
SOL,SMA,2026-01-01,2026-02-01,30,745,91.0,84.55197280794505,75.7988814139726,-7.085744167093355,-16.704525918711433,9.618781751618076,60,59,60,-13.79247748692196,-1.459637678376013,/Users/Abel/clawd/simple_trader/backtest_results/1mo/SOL_SMA_backtest.png
ETH,COMBINED,2026-01-01,2026-02-01,30,745,91.0,84.4852371077821,72.82233223637293,-7.159080101338356,-19.975459080908863,12.816378979570507,84,83,84,-12.381939843810352,-4.002894752517132,/Users/Abel/clawd/simple_trader/backtest_results/1mo/ETH_COMBINED_backtest.png
XRP,MACD,2026-01-01,2026-02-01,30,745,91.0,83.6503095113513,80.2816774373952,-8.076582954559019,-11.778376442422855,3.7017934878638368,115,114,115,-13.460980047695612,-1.8431977474857404,/Users/Abel/clawd/simple_trader/backtest_results/1mo/XRP_MACD_backtest.png
AVAX,COMBINED,2026-01-01,2026-02-01,30,745,91.0,82.9311774935478,74.04660222788235,-8.866837919178238,-18.63010744188753,9.763269522709294,94,93,94,-11.952570618326641,-3.5277273744998263,/Users/Abel/clawd/simple_trader/backtest_results/1mo/AVAX_COMBINED_backtest.png
BTC,MACD,2026-01-01,2026-02-01,30,745,91.0,82.68553485010722,81.12174347280951,-9.136774889992072,-10.855226952956576,1.718452062964504,120,119,120,-14.850600706440817,-3.6018590134626334,/Users/Abel/clawd/simple_trader/backtest_results/1mo/BTC_MACD_backtest.png
LTC,SMA,2026-01-01,2026-02-01,30,745,91.0,82.41186323899112,68.99409692399577,-9.437512924185587,-24.182311072532126,14.74479814834654,60,59,60,-22.095879348465775,-1.979081888162173,/Users/Abel/clawd/simple_trader/backtest_results/1mo/LTC_SMA_backtest.png
SOL,COMBINED,2026-01-01,2026-02-01,30,745,91.0,81.62072025849511,75.7988814139726,-10.306900814840535,-16.704525918711433,6.397625103870897,84,83,84,-13.119969775027545,-4.911357632706665,/Users/Abel/clawd/simple_trader/backtest_results/1mo/SOL_COMBINED_backtest.png
LTC,COMBINED,2026-01-01,2026-02-01,30,745,91.0,77.66292820381192,68.99409692399577,-14.656122852953935,-24.182311072532126,9.526188219578192,102,101,102,-17.36988754751864,-6.954356159430629,/Users/Abel/clawd/simple_trader/backtest_results/1mo/LTC_COMBINED_backtest.png
NEAR,COMBINED,2026-01-01,2026-02-01,30,745,91.0,76.22018123051257,70.94553015188843,-16.241559087348833,-22.037878953968757,5.796319866619925,102,101,102,-22.40265605575616,-4.906118585409269,/Users/Abel/clawd/simple_trader/backtest_results/1mo/NEAR_COMBINED_backtest.png
ATOM,COMBINED,2026-01-01,2026-02-01,30,745,91.0,75.97058272325734,91.98725543615085,-16.515843161255674,1.0848960836822519,-17.600739244937927,113,112,113,-17.439990402854473,-5.000630854611918,/Users/Abel/clawd/simple_trader/backtest_results/1mo/ATOM_COMBINED_backtest.png
DOT,COMBINED,2026-01-01,2026-02-01,30,745,91.0,75.65255469151688,77.44327791527277,-16.865324514816614,-14.897496796403543,-1.967827718413071,104,103,104,-18.92842831171358,-5.097757070225467,/Users/Abel/clawd/simple_trader/backtest_results/1mo/DOT_COMBINED_backtest.png
