asset,strategy,start_date,end_date,trading_days,candles,initial_capital,final_value,hold_final_value,strategy_return_pct,hold_return_pct,outperformance_pct,total_trades,buy_signals,sell_signals,max_drawdown_pct,sharpe_ratio,plot_file
DOGE,COMBINED,2026-01-01,2026-02-01,30,745,91.0,75.63264045910194,79.241676172509,-16.88720828670117,-12.921234975264827,-3.9659733114363434,86,85,86,-19.387236608558236,-6.3483378446531225,/Users/Abel/clawd/simple_trader/backtest_results/1mo/DOGE_COMBINED_backtest.png
LINK,COMBINED,2026-01-01,2026-02-01,30,745,91.0,75.20394147786129,72.73582899387412,-17.35830606828429,-20.07051758914932,2.7122115208650293,98,97,98,-21.28808704129139,-6.963908950198587,/Users/Abel/clawd/simple_trader/backtest_results/1mo/LINK_COMBINED_backtest.png
ETH,MACD,2026-01-01,2026-02-01,30,745,91.0,73.38970294247783,72.82233223637293,-19.351974788485904,-19.975459080908863,0.6234842924229582,112,111,112,-19.92676603221836,-5.550523129732534,/Users/Abel/clawd/simple_trader/backtest_results/1mo/ETH_MACD_backtest.png
SOL,MACD,2026-01-01,2026-02-01,30,745,91.0,70.98941919542871,75.7988814139726,-21.98964923579263,-16.704525918711433,-5.285123317081197,104,103,104,-26.381316818937222,-5.934279604989047,/Users/Abel/clawd/simple_trader/backtest_results/1mo/SOL_MACD_backtest.png
LTC,MACD,2026-01-01,2026-02-01,30,745,91.0,70.41579919765782,68.99409692399577,-22.6200008816947,-24.182311072532126,1.562310190837426,118,117,118,-23.214794395102256,-5.8750642686784476,/Users/Abel/clawd/simple_trader/backtest_results/1mo/LTC_MACD_backtest.png
AVAX,MACD,2026-01-01,2026-02-01,30,745,91.0,63.934121574494995,74.04660222788235,-29.742723544510994,-18.63010744188753,-11.112616102623463,134,133,134,-31.015117730600206,-7.700335733217954,/Users/Abel/clawd/simple_trader/backtest_results/1mo/AVAX_MACD_backtest.png
ADA,MACD,2026-01-01,2026-02-01,30,745,91.0,62.03535599431237,78.52043241175951,-31.82927912712926,-13.713810536528005,-18.115468590601257,112,111,112,-35.477916954455985,-7.471668012572058,/Users/Abel/clawd/simple_trader/backtest_results/1mo/ADA_MACD_backtest.png
ATOM,MACD,2026-01-01,2026-02-01,30,745,91.0,60.76153526257057,91.98725543615085,-33.22908212904333,1.0848960836822519,-34.31397821272558,131,130,131,-33.84008064664641,-7.194720117375605,/Users/Abel/clawd/simple_trader/backtest_results/1mo/ATOM_MACD_backtest.png
DOGE,MACD,2026-01-01,2026-02-01,30,745,91.0,58.80310039209958,79.241676172509,-35.38120836033013,-12.921234975264827,-22.4599733850653,126,125,126,-38.57586785302715,-9.16160267685777,/Users/Abel/clawd/simple_trader/backtest_results/1mo/DOGE_MACD_backtest.png
NEAR,MACD,2026-01-01,2026-02-01,30,745,91.0,58.25139772051071,70.94553015188843,-35.98747503240581,-22.037878953968757,-13.949596078437054,118,117,118,-38.51058090912771,-7.465749018138469,/Users/Abel/clawd/simple_trader/backtest_results/1mo/NEAR_MACD_backtest.png
LINK,MACD,2026-01-01,2026-02-01,30,745,91.0,56.04207007406976,72.73582899387412,-38.41530761091235,-20.07051758914932,-18.344790021763032,119,118,119,-40.59789307949648,-11.3188586866793,/Users/Abel/clawd/simple_trader/backtest_results/1mo/LINK_MACD_backtest.png
DOT,MACD,2026-01-01,2026-02-01,30,745,91.0,52.790485499462356,77.44327791527277,-41.988477473118294,-14.897496796403543,-27.09098067671475,127,126,127,-44.26213788993257,-9.639102211738535,/Users/Abel/clawd/simple_trader/backtest_results/1mo/DOT_MACD_backtest.png
