asset,strategy,return_pct,hold_pct,trades,max_dd_pct
LTC,SMA,0.0,-44.364966074944675,0,0.0
ADA,BREAKOUT,0.0,-58.9847712565275,0,0.0
ADA,SMA,-12.766730336504672,-58.9847712565275,4,-14.670449289348031
BTC,SMA,-13.674964589515382,-30.901606076978716,3,-24.103361125248508
BTC,MACD,-14.631916789003508,-30.901606076978716,10,-21.377216553682686
BTC,BREAKOUT,-14.833260801966597,-30.901606076978716,4,-20.032134586977058
ETH,BREAKOUT,-15.237163455535608,-31.665860298605576,2,-16.061545698752592
ATOM,BREAKOUT,-15.785268840794565,-52.66775148802837,2,-25.157081118377317
LINK,BREAKOUT,-18.06437394561907,-39.253943541462114,2,-18.483695497209396
XRP,SMA,-19.035746821519272,-45.07583827184233,2,-19.035746821519272
LINK,SMA,-19.132721170824308,-39.253943541462114,4,-22.696224846235086
SOL,BREAKOUT,-23.77978564953963,-35.898343059642336,4,-33.132427053230955
ATOM,SMA,-26.492092523568655,-52.66775148802837,3,-26.492092523568655
AVAX,MACD,-27.420170501090336,-53.321323757169445,10,-55.646889464569995
XRP,BREAKOUT,-31.43817577625565,-45.07583827184233,4,-31.43817577625565
XRP,MACD,-31.71212115697195,-45.07583827184233,14,-43.975811465112955
SOL,MACD,-34.04894677528666,-35.898343059642336,12,-47.72446623741015
NEAR,MACD,-34.535979070372946,-50.509154425546186,12,-53.34686295551462
ETH,SMA,-35.03798675119933,-31.665860298605576,4,-35.03798675119933
ETH,MACD,-35.071677515565284,-31.665860298605576,12,-35.09528537787459
DOGE,SMA,-37.65881197402482,-47.47374675238646,4,-40.97895823485017
DOGE,BREAKOUT,-38.26799588213792,-47.47374675238646,4,-47.66628801305011
LTC,BREAKOUT,-39.44237168746159,-44.364966074944675,4,-42.46962996887538
AVAX,BREAKOUT,-42.454258751265414,-53.321323757169445,4,-51.93478727308379
LTC,MACD,-42.626415060269316,-44.364966074944675,12,-46.31744029147654
SOL,SMA,-47.12847996727425,-35.898343059642336,4,-47.128479967274245
DOT,BREAKOUT,-47.93040585850957,-57.048755029034126,4,-50.42311924900399
LINK,MACD,-47.94713127780772,-39.253943541462114,12,-52.8744381525306
AVAX,SMA,-48.6695868529572,-53.321323757169445,4,-49.496546645502555
DOT,SMA,-51.007480370616,-57.048755029034126,4,-51.33625417105032
NEAR,SMA,-51.0201954440866,-50.509154425546186,6,-51.02019544408661
DOGE,MACD,-52.4248431304293,-47.47374675238646,16,-65.4818461411566
ADA,MACD,-56.80034204372284,-58.9847712565275,12,-64.39653673616074
ATOM,MACD,-56.90657436817834,-52.66775148802837,14,-67.48202798133269
DOT,MACD,-57.255489669831604,-57.048755029034126,12,-68.78900920944527
NEAR,BREAKOUT,-59.70052167673887,-50.509154425546186,6,-64.41348825068783
